"","ID","language","channel","country","age","dev.environment","app.type","mobile.os","desktop.os","programming.language.migrate","programming.language.primary","unit.testing","database","database.migrate","database.host","tool.usage"
"1",49,"English","external","Thailand","17 or younger","Windows","Mobile","Android","Unix / Linux","JavaScript","C++","No","MySQL","No, not planning to adopt / migrate","Private Servers","Less frequently"
"2",65,"German","external","Germany","18-20","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","DB2","Locally","All day long"
"3",100,"English","external","India","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","No","MySQL","No, not planning to adopt / migrate","RedHat OpenShift","All day long"
"4",103,"Japanese","external","Japan","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","No","PostgreSQL","No, not planning to adopt / migrate","Other - Write In:","All day long"
"5",108,"Japanese","external","Japan","21-29","macOS","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Google Cloud Platform","All day long"
"6",111,"English","external","United Kingdom","18-20","Windows","Mobile","Android","Windows","C++","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"7",162,"Spanish","external","Spain","18-20","Windows","Mobile","Windows","Windows","C#","Java","Yes, I use unit tests, but I don't write them","MySQL","MongoDB","Private Servers","All day long"
"8",170,"Korean","external","South Korea","18-20","Windows","Mobile","Android","Windows","C#","Java","No","Other - Write In:","No, not planning to adopt / migrate","Google Cloud Platform","All day long"
"9",176,"English","internal","India","17 or younger","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"10",190,"Japanese","external","Japan","30-39","Windows","Mobile","Android","Windows","Kotlin","Java","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Never"
"11",193,"English","external","United Kingdom","17 or younger","Windows","Web Back-end","Windows","Windows","Visual Basic","Java","No","MySQL","MS SQL Server","Google Cloud Platform","Several times a week"
"12",244,"Japanese","external","Japan","17 or younger","Windows","Web Back-end","Android","Windows","C++","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"13",247,"Spanish","external","Spain","30-39","Windows","Mobile","Windows","Windows","Go","Visual Basic","Yes, I write unit tests","DB2","MySQL","Heroku","All day long"
"14",318,"English","internal","New Zealand","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"15",328,"Chinese (s","internal","China","21-29","Windows","Web Front-end","Windows","Windows","TypeScript","JavaScript","No","MongoDB","No, not planning to adopt / migrate","Private Servers","Less frequently"
"16",352,"Polish","external","Poland","40-49","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Delphi","No","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"17",381,"Korean","external","South Korea","30-39","macOS","Mobile","Windows","Unix / Linux","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"18",387,"Polish","internal","Poland","17 or younger","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"19",389,"Korean","external","South Korea","17 or younger","Windows","Mobile","Windows","Windows","Objective-C","C#","No","MySQL","No, not planning to adopt / migrate","Other - Write In:","Less frequently"
"20",430,"English","external","United States","21-29","Windows","Web Front-end","Windows","Windows","Ruby","Java","Yes, I use unit tests, but I don't write them","MS SQL Server","DB2","Microsoft Azure","Several times a day"
"21",432,"Turkish","external","Turkey","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"22",449,"English","external","Canada","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Several times a day"
"23",453,"German","external","Germany","17 or younger","Windows","Web Back-end","Android","Windows","JavaScript","Java","No","MySQL","MS SQL Server","Private Servers","Several times a day"
"24",456,"English","internal","Czech Republic","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"25",459,"English","external","United Kingdom","21-29","Windows","Web Back-end","Windows","Windows","Swift","C++","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Amazon Web Services","Several times a day"
"26",471,"English","external","France","30-39","Unix / Linux","Web Back-end","Android","Unix / Linux","Python","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"27",482,"English","internal","United Kingdom","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Microsoft Azure","All day long"
"28",490,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"29",497,"English","external","Iran","21-29","Unix / Linux","Mobile","Android","Unix / Linux","Python","C++","No","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"30",536,"German","external","Germany","40-49","macOS","Web Back-end","Android","macOS","CoffeeScript","C#","No","MySQL","No, not planning to adopt / migrate","Microsoft Azure","Several times a day"
